gmDate,2016-10-25
gmTime,08:00
teamAbbr,CLE
teamConf,East
teamDiv,Central
teamLoc,Home
teamRslt,Win
teamDayOff,0
teamPTS,117
teamAST,31
teamTO,15
teamSTL,12
teamBLK,5
teamPF,22
teamFGA,94
teamFGM,45
team2PA,59
team2PM,32
team3PA,35
team3PM,13
teamFTA,19
teamFTM,14
teamORB,11
teamDRB,40
teamPTS1,28
teamPTS2,20
teamPTS3,34
teamPTS4,35
opptAbbr,NY
opptConf,East
opptDiv,Atlantic
opptLoc,Away
opptRslt,Loss
opptDayOff,0
opptPTS,88
opptAST,17
opptTO,18
opptSTL,6
opptBLK,6
opptPF,22
opptFGA,87
opptFGM,32
oppt2PA,60
oppt2PM,23
oppt3PA,27
oppt3PM,9
opptFTA,20
opptFTM,15
opptORB,13
opptDRB,29
opptPTS1,18
opptPTS2,27
opptPTS3,19
opptPTS4,24
features vector
